Category: All categories

Week,BMW: (Worldwide)
2020-03-01,87
2020-03-08,77
2020-03-15,61
2020-03-22,58
2020-03-29,53
2020-04-05,52
2020-04-12,55
2020-04-19,55
2020-04-26,64
2020-05-03,68
2020-05-10,73
2020-05-17,74
2020-05-24,79
2020-05-31,79
2020-06-07,85
2020-06-14,90
2020-06-21,94
2020-06-28,94
2020-07-05,91
2020-07-12,85
2020-07-19,85
2020-07-26,86
2020-08-02,85
2020-08-09,81
2020-08-16,82
2020-08-23,79
2020-08-30,77
2020-09-06,80
2020-09-13,78
2020-09-20,84
2020-09-27,80
2020-10-04,78
2020-10-11,80
2020-10-18,80
2020-10-25,77
2020-11-01,69
2020-11-08,77
2020-11-15,78
2020-11-22,75
2020-11-29,74
2020-12-06,79
2020-12-13,75
2020-12-20,77
2020-12-27,80
2021-01-03,78
2021-01-10,79
2021-01-17,82
2021-01-24,83
2021-01-31,75
2021-02-07,82
2021-02-14,79
2021-02-21,85
2021-02-28,86
2021-03-07,88
2021-03-14,86
2021-03-21,84
2021-03-28,90
2021-04-04,89
2021-04-11,83
2021-04-18,86
2021-04-25,83
2021-05-02,87
2021-05-09,85
2021-05-16,82
2021-05-23,83
2021-05-30,83
2021-06-06,85
2021-06-13,84
2021-06-20,84
2021-06-27,82
2021-07-04,87
2021-07-11,84
2021-07-18,90
2021-07-25,84
2021-08-01,81
2021-08-08,84
2021-08-15,85
2021-08-22,84
2021-08-29,85
2021-09-05,83
2021-09-12,83
2021-09-19,79
2021-09-26,75
2021-10-03,75
2021-10-10,79
2021-10-17,80
2021-10-24,76
2021-10-31,78
2021-11-07,77
2021-11-14,81
2021-11-21,76
2021-11-28,75
2021-12-05,73
2021-12-12,75
2021-12-19,78
2021-12-26,76
2022-01-02,85
2022-01-09,85
2022-01-16,80
2022-01-23,83
2022-01-30,83
2022-02-06,86
2022-02-13,84
2022-02-20,77
2022-02-27,78
2022-03-06,77
2022-03-13,81
2022-03-20,81
2022-03-27,77
2022-04-03,81
2022-04-10,81
2022-04-17,84
2022-04-24,85
2022-05-01,81
2022-05-08,81
2022-05-15,82
2022-05-22,75
2022-05-29,83
2022-06-05,80
2022-06-12,78
2022-06-19,88
2022-06-26,79
2022-07-03,79
2022-07-10,82
2022-07-17,84
2022-07-24,79
2022-07-31,79
2022-08-07,83
2022-08-14,79
2022-08-21,79
2022-08-28,81
2022-09-04,77
2022-09-11,73
2022-09-18,78
2022-09-25,79
2022-10-02,78
2022-10-09,79
2022-10-16,79
2022-10-23,80
2022-10-30,75
2022-11-06,75
2022-11-13,75
2022-11-20,72
2022-11-27,73
2022-12-04,75
2022-12-11,77
2022-12-18,76
2022-12-25,81
2023-01-01,84
2023-01-08,79
2023-01-15,83
2023-01-22,86
2023-01-29,85
2023-02-05,85
2023-02-12,82
2023-02-19,85
2023-02-26,83
2023-03-05,90
2023-03-12,86
2023-03-19,88
2023-03-26,87
2023-04-02,90
2023-04-09,89
2023-04-16,91
2023-04-23,89
2023-04-30,88
2023-05-07,85
2023-05-14,86
2023-05-21,91
2023-05-28,86
2023-06-04,87
2023-06-11,91
2023-06-18,93
2023-06-25,95
2023-07-02,89
2023-07-09,93
2023-07-16,88
2023-07-23,84
2023-07-30,88
2023-08-06,90
2023-08-13,88
2023-08-20,84
2023-08-27,90
2023-09-03,88
2023-09-10,83
2023-09-17,86
2023-09-24,85
2023-10-01,82
2023-10-08,80
2023-10-15,88
2023-10-22,85
2023-10-29,81
2023-11-05,83
2023-11-12,80
2023-11-19,83
2023-11-26,83
2023-12-03,84
2023-12-10,81
2023-12-17,89
2023-12-24,90
2023-12-31,91
2024-01-07,89
2024-01-14,89
2024-01-21,87
2024-01-28,95
2024-02-04,91
2024-02-11,90
2024-02-18,95
2024-02-25,92
2024-03-03,99
2024-03-10,88
2024-03-17,93
2024-03-24,95
2024-03-31,96
2024-04-07,93
2024-04-14,94
2024-04-21,96
2024-04-28,95
2024-05-05,91
2024-05-12,94
2024-05-19,91
2024-05-26,95
2024-06-02,94
2024-06-09,92
2024-06-16,93
2024-06-23,93
2024-06-30,93
2024-07-07,93
2024-07-14,94
2024-07-21,100
2024-07-28,91
2024-08-04,91
2024-08-11,97
2024-08-18,99
2024-08-25,96
2024-09-01,94
2024-09-08,95
2024-09-15,96
2024-09-22,95
2024-09-29,92
2024-10-06,94
2024-10-13,96
2024-10-20,94
2024-10-27,89
2024-11-03,94
2024-11-10,98
2024-11-17,94
2024-11-24,94
2024-12-01,92
2024-12-08,93
2024-12-15,95
2024-12-22,97
2024-12-29,97
2025-01-05,95
2025-01-12,95
2025-01-19,96
2025-01-26,97
2025-02-02,99
2025-02-09,97
2025-02-16,98
2025-02-23,98
2025-03-02,99
