Category: All categories

Week,Budweiser: (Worldwide)
2020-03-01,15
2020-03-08,15
2020-03-15,13
2020-03-22,13
2020-03-29,15
2020-04-05,14
2020-04-12,14
2020-04-19,15
2020-04-26,16
2020-05-03,17
2020-05-10,16
2020-05-17,18
2020-05-24,18
2020-05-31,17
2020-06-07,18
2020-06-14,18
2020-06-21,19
2020-06-28,32
2020-07-05,18
2020-07-12,18
2020-07-19,21
2020-07-26,19
2020-08-02,18
2020-08-09,16
2020-08-16,17
2020-08-23,16
2020-08-30,16
2020-09-06,15
2020-09-13,15
2020-09-20,14
2020-09-27,14
2020-10-04,13
2020-10-11,13
2020-10-18,14
2020-10-25,14
2020-11-01,12
2020-11-08,13
2020-11-15,14
2020-11-22,14
2020-11-29,13
2020-12-06,15
2020-12-13,15
2020-12-20,22
2020-12-27,19
2021-01-03,13
2021-01-10,13
2021-01-17,12
2021-01-24,16
2021-01-31,17
2021-02-07,26
2021-02-14,12
2021-02-21,11
2021-02-28,11
2021-03-07,11
2021-03-14,11
2021-03-21,11
2021-03-28,12
2021-04-04,12
2021-04-11,12
2021-04-18,11
2021-04-25,11
2021-05-02,13
2021-05-09,12
2021-05-16,12
2021-05-23,14
2021-05-30,13
2021-06-06,13
2021-06-13,15
2021-06-20,15
2021-06-27,14
2021-07-04,14
2021-07-11,14
2021-07-18,14
2021-07-25,12
2021-08-01,12
2021-08-08,12
2021-08-15,12
2021-08-22,12
2021-08-29,11
2021-09-05,11
2021-09-12,10
2021-09-19,9
2021-09-26,9
2021-10-03,8
2021-10-10,8
2021-10-17,8
2021-10-24,8
2021-10-31,8
2021-11-07,8
2021-11-14,8
2021-11-21,9
2021-11-28,10
2021-12-05,9
2021-12-12,10
2021-12-19,10
2021-12-26,12
2022-01-02,8
2022-01-09,9
2022-01-16,8
2022-01-23,9
2022-01-30,10
2022-02-06,11
2022-02-13,17
2022-02-20,10
2022-02-27,9
2022-03-06,9
2022-03-13,10
2022-03-20,10
2022-03-27,10
2022-04-03,10
2022-04-10,11
2022-04-17,10
2022-04-24,11
2022-05-01,10
2022-05-08,10
2022-05-15,10
2022-05-22,10
2022-05-29,10
2022-06-05,11
2022-06-12,11
2022-06-19,11
2022-06-26,11
2022-07-03,11
2022-07-10,10
2022-07-17,10
2022-07-24,11
2022-07-31,11
2022-08-07,11
2022-08-14,10
2022-08-21,10
2022-08-28,10
2022-09-04,10
2022-09-11,10
2022-09-18,10
2022-09-25,10
2022-10-02,10
2022-10-09,10
2022-10-16,10
2022-10-23,10
2022-10-30,10
2022-11-06,10
2022-11-13,17
2022-11-20,30
2022-11-27,16
2022-12-04,15
2022-12-11,13
2022-12-18,27
2022-12-25,17
2023-01-01,11
2023-01-08,10
2023-01-15,10
2023-01-22,10
2023-01-29,10
2023-02-05,11
2023-02-12,18
2023-02-19,14
2023-02-26,10
2023-03-05,11
2023-03-12,11
2023-03-19,11
2023-03-26,11
2023-04-02,100
2023-04-09,98
2023-04-16,66
2023-04-23,41
2023-04-30,30
2023-05-07,23
2023-05-14,27
2023-05-21,35
2023-05-28,30
2023-06-04,22
2023-06-11,21
2023-06-18,19
2023-06-25,20
2023-07-02,20
2023-07-09,17
2023-07-16,16
2023-07-23,16
2023-07-30,16
2023-08-06,17
2023-08-13,16
2023-08-20,14
2023-08-27,13
2023-09-03,14
2023-09-10,12
2023-09-17,12
2023-09-24,12
2023-10-01,11
2023-10-08,11
2023-10-15,11
2023-10-22,12
2023-10-29,11
2023-11-05,11
2023-11-12,12
2023-11-19,12
2023-11-26,11
2023-12-03,12
2023-12-10,12
2023-12-17,14
2023-12-24,15
2023-12-31,14
2024-01-07,11
2024-01-14,11
2024-01-21,12
2024-01-28,14
2024-02-04,16
2024-02-11,22
2024-02-18,12
2024-02-25,12
2024-03-03,12
2024-03-10,13
2024-03-17,13
2024-03-24,13
2024-03-31,14
2024-04-07,12
2024-04-14,11
2024-04-21,12
2024-04-28,13
2024-05-05,13
2024-05-12,13
2024-05-19,13
2024-05-26,13
2024-06-02,13
2024-06-09,13
2024-06-16,13
2024-06-23,12
2024-06-30,13
2024-07-07,13
2024-07-14,14
2024-07-21,13
2024-07-28,12
2024-08-04,12
2024-08-11,13
2024-08-18,18
2024-08-25,12
2024-09-01,11
2024-09-08,11
2024-09-15,12
2024-09-22,11
2024-09-29,10
2024-10-06,11
2024-10-13,10
2024-10-20,10
2024-10-27,10
2024-11-03,10
2024-11-10,11
2024-11-17,11
2024-11-24,12
2024-12-01,11
2024-12-08,11
2024-12-15,12
2024-12-22,13
2024-12-29,13
2025-01-05,9
2025-01-12,10
2025-01-19,10
2025-01-26,12
2025-02-02,13
2025-02-09,18
2025-02-16,10
2025-02-23,10
2025-03-02,10
