Category: All categories

Week,Dove: (Worldwide)
2020-03-01,48
2020-03-08,48
2020-03-15,45
2020-03-22,43
2020-03-29,46
2020-04-05,51
2020-04-12,56
2020-04-19,56
2020-04-26,54
2020-05-03,57
2020-05-10,59
2020-05-17,64
2020-05-24,59
2020-05-31,57
2020-06-07,56
2020-06-14,57
2020-06-21,59
2020-06-28,57
2020-07-05,57
2020-07-12,56
2020-07-19,57
2020-07-26,55
2020-08-02,57
2020-08-09,54
2020-08-16,54
2020-08-23,55
2020-08-30,53
2020-09-06,54
2020-09-13,51
2020-09-20,52
2020-09-27,57
2020-10-04,52
2020-10-11,50
2020-10-18,51
2020-10-25,55
2020-11-01,54
2020-11-08,63
2020-11-15,57
2020-11-22,56
2020-11-29,57
2020-12-06,56
2020-12-13,56
2020-12-20,52
2020-12-27,52
2021-01-03,53
2021-01-10,54
2021-01-17,55
2021-01-24,57
2021-01-31,56
2021-02-07,56
2021-02-14,61
2021-02-21,59
2021-02-28,58
2021-03-07,57
2021-03-14,58
2021-03-21,58
2021-03-28,59
2021-04-04,61
2021-04-11,62
2021-04-18,66
2021-04-25,62
2021-05-02,61
2021-05-09,60
2021-05-16,61
2021-05-23,59
2021-05-30,69
2021-06-06,61
2021-06-13,66
2021-06-20,70
2021-06-27,59
2021-07-04,59
2021-07-11,61
2021-07-18,58
2021-07-25,58
2021-08-01,61
2021-08-08,60
2021-08-15,57
2021-08-22,57
2021-08-29,55
2021-09-05,57
2021-09-12,58
2021-09-19,55
2021-09-26,54
2021-10-03,57
2021-10-10,52
2021-10-17,53
2021-10-24,54
2021-10-31,54
2021-11-07,57
2021-11-14,54
2021-11-21,58
2021-11-28,59
2021-12-05,55
2021-12-12,55
2021-12-19,54
2021-12-26,63
2022-01-02,61
2022-01-09,60
2022-01-16,55
2022-01-23,59
2022-01-30,61
2022-02-06,64
2022-02-13,65
2022-02-20,63
2022-02-27,68
2022-03-06,67
2022-03-13,65
2022-03-20,64
2022-03-27,65
2022-04-03,69
2022-04-10,64
2022-04-17,64
2022-04-24,68
2022-05-01,67
2022-05-08,67
2022-05-15,66
2022-05-22,65
2022-05-29,68
2022-06-05,65
2022-06-12,66
2022-06-19,68
2022-06-26,69
2022-07-03,69
2022-07-10,70
2022-07-17,70
2022-07-24,69
2022-07-31,69
2022-08-07,71
2022-08-14,68
2022-08-21,68
2022-08-28,69
2022-09-04,65
2022-09-11,64
2022-09-18,66
2022-09-25,65
2022-10-02,65
2022-10-09,64
2022-10-16,67
2022-10-23,96
2022-10-30,76
2022-11-06,70
2022-11-13,71
2022-11-20,68
2022-11-27,67
2022-12-04,65
2022-12-11,64
2022-12-18,65
2022-12-25,65
2023-01-01,65
2023-01-08,64
2023-01-15,63
2023-01-22,65
2023-01-29,70
2023-02-05,67
2023-02-12,63
2023-02-19,68
2023-02-26,71
2023-03-05,68
2023-03-12,69
2023-03-19,73
2023-03-26,69
2023-04-02,69
2023-04-09,69
2023-04-16,73
2023-04-23,75
2023-04-30,74
2023-05-07,70
2023-05-14,74
2023-05-21,72
2023-05-28,76
2023-06-04,74
2023-06-11,74
2023-06-18,73
2023-06-25,77
2023-07-02,79
2023-07-09,75
2023-07-16,74
2023-07-23,72
2023-07-30,74
2023-08-06,75
2023-08-13,73
2023-08-20,72
2023-08-27,72
2023-09-03,72
2023-09-10,72
2023-09-17,71
2023-09-24,72
2023-10-01,69
2023-10-08,67
2023-10-15,68
2023-10-22,71
2023-10-29,72
2023-11-05,76
2023-11-12,78
2023-11-19,73
2023-11-26,72
2023-12-03,73
2023-12-10,70
2023-12-17,71
2023-12-24,73
2023-12-31,64
2024-01-07,68
2024-01-14,66
2024-01-21,67
2024-01-28,67
2024-02-04,70
2024-02-11,70
2024-02-18,70
2024-02-25,74
2024-03-03,74
2024-03-10,67
2024-03-17,70
2024-03-24,76
2024-03-31,77
2024-04-07,71
2024-04-14,75
2024-04-21,75
2024-04-28,78
2024-05-05,77
2024-05-12,80
2024-05-19,79
2024-05-26,80
2024-06-02,81
2024-06-09,78
2024-06-16,78
2024-06-23,85
2024-06-30,86
2024-07-07,88
2024-07-14,87
2024-07-21,88
2024-07-28,86
2024-08-04,85
2024-08-11,90
2024-08-18,91
2024-08-25,88
2024-09-01,88
2024-09-08,86
2024-09-15,84
2024-09-22,87
2024-09-29,83
2024-10-06,88
2024-10-13,91
2024-10-20,82
2024-10-27,84
2024-11-03,84
2024-11-10,93
2024-11-17,93
2024-11-24,89
2024-12-01,95
2024-12-08,99
2024-12-15,89
2024-12-22,95
2024-12-29,99
2025-01-05,95
2025-01-12,93
2025-01-19,95
2025-01-26,94
2025-02-02,100
2025-02-09,93
2025-02-16,94
2025-02-23,93
2025-03-02,95
