Category: All categories

Week,Drumstick: (Worldwide)
2020-03-01,23
2020-03-08,22
2020-03-15,20
2020-03-22,28
2020-03-29,28
2020-04-05,31
2020-04-12,30
2020-04-19,36
2020-04-26,41
2020-05-03,43
2020-05-10,37
2020-05-17,45
2020-05-24,49
2020-05-31,46
2020-06-07,43
2020-06-14,47
2020-06-21,56
2020-06-28,54
2020-07-05,60
2020-07-12,57
2020-07-19,57
2020-07-26,48
2020-08-02,42
2020-08-09,42
2020-08-16,42
2020-08-23,38
2020-08-30,33
2020-09-06,40
2020-09-13,29
2020-09-20,35
2020-09-27,30
2020-10-04,35
2020-10-11,29
2020-10-18,32
2020-10-25,29
2020-11-01,25
2020-11-08,28
2020-11-15,25
2020-11-22,26
2020-11-29,26
2020-12-06,27
2020-12-13,19
2020-12-20,22
2020-12-27,28
2021-01-03,25
2021-01-10,31
2021-01-17,27
2021-01-24,29
2021-01-31,30
2021-02-07,27
2021-02-14,28
2021-02-21,32
2021-02-28,30
2021-03-07,28
2021-03-14,30
2021-03-21,31
2021-03-28,41
2021-04-04,41
2021-04-11,43
2021-04-18,47
2021-04-25,52
2021-05-02,54
2021-05-09,58
2021-05-16,66
2021-05-23,66
2021-05-30,64
2021-06-06,65
2021-06-13,66
2021-06-20,63
2021-06-27,71
2021-07-04,65
2021-07-11,62
2021-07-18,78
2021-07-25,63
2021-08-01,58
2021-08-08,59
2021-08-15,53
2021-08-22,50
2021-08-29,48
2021-09-05,47
2021-09-12,47
2021-09-19,43
2021-09-26,41
2021-10-03,37
2021-10-10,36
2021-10-17,37
2021-10-24,37
2021-10-31,34
2021-11-07,30
2021-11-14,30
2021-11-21,31
2021-11-28,35
2021-12-05,36
2021-12-12,30
2021-12-19,34
2021-12-26,33
2022-01-02,34
2022-01-09,39
2022-01-16,40
2022-01-23,35
2022-01-30,40
2022-02-06,41
2022-02-13,34
2022-02-20,35
2022-02-27,39
2022-03-06,36
2022-03-13,40
2022-03-20,38
2022-03-27,40
2022-04-03,43
2022-04-10,46
2022-04-17,39
2022-04-24,47
2022-05-01,51
2022-05-08,54
2022-05-15,56
2022-05-22,59
2022-05-29,68
2022-06-05,68
2022-06-12,62
2022-06-19,63
2022-06-26,76
2022-07-03,73
2022-07-10,81
2022-07-17,78
2022-07-24,90
2022-07-31,67
2022-08-07,63
2022-08-14,55
2022-08-21,55
2022-08-28,51
2022-09-04,47
2022-09-11,44
2022-09-18,41
2022-09-25,39
2022-10-02,36
2022-10-09,40
2022-10-16,34
2022-10-23,36
2022-10-30,31
2022-11-06,35
2022-11-13,33
2022-11-20,32
2022-11-27,32
2022-12-04,35
2022-12-11,32
2022-12-18,27
2022-12-25,33
2023-01-01,35
2023-01-08,42
2023-01-15,39
2023-01-22,41
2023-01-29,41
2023-02-05,39
2023-02-12,42
2023-02-19,51
2023-02-26,41
2023-03-05,38
2023-03-12,39
2023-03-19,39
2023-03-26,34
2023-04-02,38
2023-04-09,35
2023-04-16,40
2023-04-23,41
2023-04-30,47
2023-05-07,44
2023-05-14,46
2023-05-21,55
2023-05-28,54
2023-06-04,61
2023-06-11,58
2023-06-18,55
2023-06-25,57
2023-07-02,58
2023-07-09,53
2023-07-16,58
2023-07-23,53
2023-07-30,55
2023-08-06,49
2023-08-13,54
2023-08-20,59
2023-08-27,70
2023-09-03,59
2023-09-10,55
2023-09-17,39
2023-09-24,38
2023-10-01,43
2023-10-08,38
2023-10-15,39
2023-10-22,44
2023-10-29,41
2023-11-05,41
2023-11-12,42
2023-11-19,38
2023-11-26,35
2023-12-03,37
2023-12-10,36
2023-12-17,28
2023-12-24,29
2023-12-31,36
2024-01-07,36
2024-01-14,38
2024-01-21,48
2024-01-28,49
2024-02-04,38
2024-02-11,60
2024-02-18,47
2024-02-25,50
2024-03-03,49
2024-03-10,53
2024-03-17,51
2024-03-24,45
2024-03-31,46
2024-04-07,67
2024-04-14,73
2024-04-21,60
2024-04-28,73
2024-05-05,66
2024-05-12,66
2024-05-19,70
2024-05-26,75
2024-06-02,78
2024-06-09,85
2024-06-16,78
2024-06-23,75
2024-06-30,84
2024-07-07,76
2024-07-14,77
2024-07-21,100
2024-07-28,84
2024-08-04,73
2024-08-11,85
2024-08-18,62
2024-08-25,66
2024-09-01,58
2024-09-08,50
2024-09-15,58
2024-09-22,51
2024-09-29,50
2024-10-06,54
2024-10-13,53
2024-10-20,51
2024-10-27,49
2024-11-03,48
2024-11-10,54
2024-11-17,45
2024-11-24,44
2024-12-01,46
2024-12-08,52
2024-12-15,43
2024-12-22,50
2024-12-29,49
2025-01-05,77
2025-01-12,69
2025-01-19,66
2025-01-26,60
2025-02-02,57
2025-02-09,57
2025-02-16,59
2025-02-23,65
2025-03-02,68
