Category: All categories

Week,Dunkin': (Worldwide)
2020-03-01,62
2020-03-08,54
2020-03-15,56
2020-03-22,53
2020-03-29,51
2020-04-05,50
2020-04-12,56
2020-04-19,56
2020-04-26,59
2020-05-03,65
2020-05-10,63
2020-05-17,64
2020-05-24,64
2020-05-31,70
2020-06-07,65
2020-06-14,69
2020-06-21,70
2020-06-28,72
2020-07-05,72
2020-07-12,68
2020-07-19,71
2020-07-26,72
2020-08-02,79
2020-08-09,74
2020-08-16,75
2020-08-23,71
2020-08-30,89
2020-09-06,89
2020-09-13,79
2020-09-20,75
2020-09-27,82
2020-10-04,69
2020-10-11,74
2020-10-18,69
2020-10-25,75
2020-11-01,65
2020-11-08,69
2020-11-15,67
2020-11-22,78
2020-11-29,65
2020-12-06,70
2020-12-13,65
2020-12-20,100
2020-12-27,79
2021-01-03,63
2021-01-10,63
2021-01-17,64
2021-01-24,66
2021-01-31,65
2021-02-07,67
2021-02-14,71
2021-02-21,70
2021-02-28,69
2021-03-07,69
2021-03-14,64
2021-03-21,70
2021-03-28,76
2021-04-04,75
2021-04-11,70
2021-04-18,72
2021-04-25,71
2021-05-02,75
2021-05-09,73
2021-05-16,72
2021-05-23,73
2021-05-30,81
2021-06-06,75
2021-06-13,72
2021-06-20,78
2021-06-27,76
2021-07-04,78
2021-07-11,79
2021-07-18,82
2021-07-25,75
2021-08-01,73
2021-08-08,75
2021-08-15,81
2021-08-22,82
2021-08-29,72
2021-09-05,74
2021-09-12,71
2021-09-19,69
2021-09-26,76
2021-10-03,69
2021-10-10,69
2021-10-17,70
2021-10-24,69
2021-10-31,67
2021-11-07,71
2021-11-14,66
2021-11-21,83
2021-11-28,61
2021-12-05,63
2021-12-12,64
2021-12-19,97
2021-12-26,73
2022-01-02,57
2022-01-09,55
2022-01-16,52
2022-01-23,56
2022-01-30,57
2022-02-06,62
2022-02-13,60
2022-02-20,53
2022-02-27,57
2022-03-06,54
2022-03-13,56
2022-03-20,55
2022-03-27,54
2022-04-03,54
2022-04-10,57
2022-04-17,59
2022-04-24,58
2022-05-01,61
2022-05-08,61
2022-05-15,59
2022-05-22,60
2022-05-29,69
2022-06-05,63
2022-06-12,61
2022-06-19,64
2022-06-26,64
2022-07-03,65
2022-07-10,64
2022-07-17,64
2022-07-24,65
2022-07-31,62
2022-08-07,63
2022-08-14,70
2022-08-21,65
2022-08-28,65
2022-09-04,64
2022-09-11,58
2022-09-18,58
2022-09-25,64
2022-10-02,59
2022-10-09,57
2022-10-16,58
2022-10-23,57
2022-10-30,57
2022-11-06,59
2022-11-13,57
2022-11-20,66
2022-11-27,51
2022-12-04,53
2022-12-11,56
2022-12-18,64
2022-12-25,76
2023-01-01,57
2023-01-08,55
2023-01-15,52
2023-01-22,54
2023-01-29,55
2023-02-05,56
2023-02-12,69
2023-02-19,54
2023-02-26,58
2023-03-05,54
2023-03-12,55
2023-03-19,54
2023-03-26,51
2023-04-02,55
2023-04-09,56
2023-04-16,57
2023-04-23,58
2023-04-30,58
2023-05-07,58
2023-05-14,53
2023-05-21,57
2023-05-28,69
2023-06-04,57
2023-06-11,60
2023-06-18,57
2023-06-25,58
2023-07-02,63
2023-07-09,57
2023-07-16,57
2023-07-23,54
2023-07-30,58
2023-08-06,66
2023-08-13,61
2023-08-20,55
2023-08-27,58
2023-09-03,59
2023-09-10,60
2023-09-17,60
2023-09-24,63
2023-10-01,61
2023-10-08,58
2023-10-15,56
2023-10-22,56
2023-10-29,58
2023-11-05,61
2023-11-12,56
2023-11-19,67
2023-11-26,51
2023-12-03,55
2023-12-10,55
2023-12-17,63
2023-12-24,79
2023-12-31,59
2024-01-07,50
2024-01-14,50
2024-01-21,49
2024-01-28,54
2024-02-04,55
2024-02-11,97
2024-02-18,64
2024-02-25,57
2024-03-03,57
2024-03-10,52
2024-03-17,51
2024-03-24,56
2024-03-31,57
2024-04-07,57
2024-04-14,51
2024-04-21,54
2024-04-28,56
2024-05-05,57
2024-05-12,54
2024-05-19,55
2024-05-26,57
2024-06-02,61
2024-06-09,55
2024-06-16,55
2024-06-23,55
2024-06-30,58
2024-07-07,59
2024-07-14,58
2024-07-21,54
2024-07-28,57
2024-08-04,62
2024-08-11,68
2024-08-18,63
2024-08-25,65
2024-09-01,62
2024-09-08,59
2024-09-15,59
2024-09-22,56
2024-09-29,60
2024-10-06,61
2024-10-13,76
2024-10-20,66
2024-10-27,64
2024-11-03,63
2024-11-10,60
2024-11-17,55
2024-11-24,67
2024-12-01,53
2024-12-08,56
2024-12-15,57
2024-12-22,77
2024-12-29,66
2025-01-05,54
2025-01-12,55
2025-01-19,53
2025-01-26,56
2025-02-02,57
2025-02-09,67
2025-02-16,54
2025-02-23,52
2025-03-02,55
