Category: All categories

Week,Etsy: (Worldwide)
2020-03-01,<1
2020-03-08,<1
2020-03-15,<1
2020-03-22,<1
2020-03-29,<1
2020-04-05,<1
2020-04-12,<1
2020-04-19,<1
2020-04-26,<1
2020-05-03,<1
2020-05-10,<1
2020-05-17,<1
2020-05-24,<1
2020-05-31,<1
2020-06-07,<1
2020-06-14,<1
2020-06-21,<1
2020-06-28,<1
2020-07-05,<1
2020-07-12,<1
2020-07-19,<1
2020-07-26,<1
2020-08-02,<1
2020-08-09,<1
2020-08-16,<1
2020-08-23,<1
2020-08-30,<1
2020-09-06,<1
2020-09-13,<1
2020-09-20,<1
2020-09-27,<1
2020-10-04,17
2020-10-11,25
2020-10-18,25
2020-10-25,25
2020-11-01,24
2020-11-08,29
2020-11-15,35
2020-11-22,35
2020-11-29,18
2020-12-06,<1
2020-12-13,<1
2020-12-20,<1
2020-12-27,<1
2021-01-03,<1
2021-01-10,<1
2021-01-17,<1
2021-01-24,<1
2021-01-31,24
2021-02-07,1
2021-02-14,<1
2021-02-21,<1
2021-02-28,<1
2021-03-07,<1
2021-03-14,<1
2021-03-21,<1
2021-03-28,<1
2021-04-04,<1
2021-04-11,<1
2021-04-18,<1
2021-04-25,<1
2021-05-02,<1
2021-05-09,<1
2021-05-16,<1
2021-05-23,<1
2021-05-30,<1
2021-06-06,<1
2021-06-13,3
2021-06-20,10
2021-06-27,23
2021-07-04,8
2021-07-11,8
2021-07-18,6
2021-07-25,8
2021-08-01,5
2021-08-08,5
2021-08-15,8
2021-08-22,10
2021-08-29,7
2021-09-05,6
2021-09-12,6
2021-09-19,10
2021-09-26,9
2021-10-03,10
2021-10-10,5
2021-10-17,3
2021-10-24,4
2021-10-31,4
2021-11-07,5
2021-11-14,6
2021-11-21,6
2021-11-28,10
2021-12-05,8
2021-12-12,10
2021-12-19,2
2021-12-26,2
2022-01-02,2
2022-01-09,4
2022-01-16,10
2022-01-23,71
2022-01-30,66
2022-02-06,13
2022-02-13,29
2022-02-20,44
2022-02-27,35
2022-03-06,46
2022-03-13,49
2022-03-20,54
2022-03-27,48
2022-04-03,47
2022-04-10,53
2022-04-17,47
2022-04-24,47
2022-05-01,53
2022-05-08,47
2022-05-15,51
2022-05-22,55
2022-05-29,55
2022-06-05,48
2022-06-12,50
2022-06-19,48
2022-06-26,44
2022-07-03,45
2022-07-10,52
2022-07-17,40
2022-07-24,37
2022-07-31,43
2022-08-07,37
2022-08-14,7
2022-08-21,10
2022-08-28,18
2022-09-04,20
2022-09-11,16
2022-09-18,7
2022-09-25,10
2022-10-02,63
2022-10-09,76
2022-10-16,72
2022-10-23,74
2022-10-30,74
2022-11-06,88
2022-11-13,91
2022-11-20,92
2022-11-27,98
2022-12-04,100
2022-12-11,91
2022-12-18,72
2022-12-25,74
2023-01-01,79
2023-01-08,73
2023-01-15,76
2023-01-22,80
2023-01-29,77
2023-02-05,76
2023-02-12,64
2023-02-19,68
2023-02-26,69
2023-03-05,62
2023-03-12,54
2023-03-19,54
2023-03-26,53
2023-04-02,54
2023-04-09,55
2023-04-16,53
2023-04-23,53
2023-04-30,57
2023-05-07,52
2023-05-14,45
2023-05-21,41
2023-05-28,44
2023-06-04,31
2023-06-11,40
2023-06-18,48
2023-06-25,50
2023-07-02,48
2023-07-09,51
2023-07-16,50
2023-07-23,48
2023-07-30,51
2023-08-06,53
2023-08-13,52
2023-08-20,49
2023-08-27,49
2023-09-03,38
2023-09-10,39
2023-09-17,39
2023-09-24,34
2023-10-01,26
2023-10-08,26
2023-10-15,36
2023-10-22,53
2023-10-29,52
2023-11-05,60
2023-11-12,63
2023-11-19,53
2023-11-26,33
2023-12-03,46
2023-12-10,74
2023-12-17,63
2023-12-24,59
2023-12-31,62
2024-01-07,62
2024-01-14,62
2024-01-21,61
2024-01-28,63
2024-02-04,61
2024-02-11,54
2024-02-18,57
2024-02-25,57
2024-03-03,56
2024-03-10,54
2024-03-17,57
2024-03-24,57
2024-03-31,57
2024-04-07,56
2024-04-14,58
2024-04-21,56
2024-04-28,60
2024-05-05,56
2024-05-12,53
2024-05-19,52
2024-05-26,52
2024-06-02,54
2024-06-09,54
2024-06-16,51
2024-06-23,49
2024-06-30,52
2024-07-07,55
2024-07-14,58
2024-07-21,57
2024-07-28,55
2024-08-04,55
2024-08-11,59
2024-08-18,59
2024-08-25,58
2024-09-01,57
2024-09-08,57
2024-09-15,55
2024-09-22,54
2024-09-29,59
2024-10-06,60
2024-10-13,58
2024-10-20,58
2024-10-27,57
2024-11-03,65
2024-11-10,69
2024-11-17,73
2024-11-24,77
2024-12-01,86
2024-12-08,86
2024-12-15,68
2024-12-22,58
2024-12-29,59
2025-01-05,57
2025-01-12,60
2025-01-19,61
2025-01-26,58
2025-02-02,63
2025-02-09,56
2025-02-16,56
2025-02-23,57
2025-03-02,63
