Category: All categories

Week,FanDuel: (Worldwide)
2020-03-01,24
2020-03-08,18
2020-03-15,9
2020-03-22,8
2020-03-29,10
2020-04-05,10
2020-04-12,10
2020-04-19,12
2020-04-26,9
2020-05-03,12
2020-05-10,11
2020-05-17,12
2020-05-24,11
2020-05-31,12
2020-06-07,13
2020-06-14,15
2020-06-21,13
2020-06-28,12
2020-07-05,20
2020-07-12,25
2020-07-19,42
2020-07-26,47
2020-08-02,45
2020-08-09,37
2020-08-16,47
2020-08-23,32
2020-08-30,44
2020-09-06,63
2020-09-13,68
2020-09-20,58
2020-09-27,53
2020-10-04,51
2020-10-11,70
2020-10-18,44
2020-10-25,40
2020-11-01,39
2020-11-08,43
2020-11-15,41
2020-11-22,39
2020-11-29,32
2020-12-06,37
2020-12-13,36
2020-12-20,56
2020-12-27,57
2021-01-03,57
2021-01-10,53
2021-01-17,61
2021-01-24,67
2021-01-31,73
2021-02-07,97
2021-02-14,39
2021-02-21,36
2021-02-28,31
2021-03-07,26
2021-03-14,41
2021-03-21,33
2021-03-28,34
2021-04-04,34
2021-04-11,32
2021-04-18,30
2021-04-25,31
2021-05-02,26
2021-05-09,28
2021-05-16,27
2021-05-23,31
2021-05-30,31
2021-06-06,28
2021-06-13,29
2021-06-20,28
2021-06-27,25
2021-07-04,27
2021-07-11,23
2021-07-18,21
2021-07-25,18
2021-08-01,19
2021-08-08,19
2021-08-15,20
2021-08-22,23
2021-08-29,28
2021-09-05,52
2021-09-12,62
2021-09-19,57
2021-09-26,49
2021-10-03,50
2021-10-10,53
2021-10-17,60
2021-10-24,57
2021-10-31,49
2021-11-07,48
2021-11-14,44
2021-11-21,49
2021-11-28,48
2021-12-05,59
2021-12-12,57
2021-12-19,52
2021-12-26,48
2022-01-02,63
2022-01-09,77
2022-01-16,64
2022-01-23,52
2022-01-30,64
2022-02-06,71
2022-02-13,90
2022-02-20,36
2022-02-27,35
2022-03-06,40
2022-03-13,46
2022-03-20,40
2022-03-27,42
2022-04-03,50
2022-04-10,40
2022-04-17,40
2022-04-24,37
2022-05-01,39
2022-05-08,30
2022-05-15,29
2022-05-22,31
2022-05-29,27
2022-06-05,29
2022-06-12,30
2022-06-19,23
2022-06-26,23
2022-07-03,20
2022-07-10,25
2022-07-17,20
2022-07-24,23
2022-07-31,23
2022-08-07,24
2022-08-14,25
2022-08-21,26
2022-08-28,37
2022-09-04,62
2022-09-11,67
2022-09-18,58
2022-09-25,52
2022-10-02,53
2022-10-09,52
2022-10-16,66
2022-10-23,60
2022-10-30,57
2022-11-06,50
2022-11-13,54
2022-11-20,72
2022-11-27,58
2022-12-04,57
2022-12-11,57
2022-12-18,60
2022-12-25,59
2023-01-01,82
2023-01-08,82
2023-01-15,81
2023-01-22,76
2023-01-29,70
2023-02-05,63
2023-02-12,87
2023-02-19,37
2023-02-26,42
2023-03-05,46
2023-03-12,55
2023-03-19,47
2023-03-26,39
2023-04-02,42
2023-04-09,37
2023-04-16,43
2023-04-23,45
2023-04-30,47
2023-05-07,40
2023-05-14,37
2023-05-21,34
2023-05-28,35
2023-06-04,30
2023-06-11,27
2023-06-18,25
2023-06-25,23
2023-07-02,24
2023-07-09,23
2023-07-16,25
2023-07-23,25
2023-07-30,26
2023-08-06,27
2023-08-13,27
2023-08-20,32
2023-08-27,41
2023-09-03,61
2023-09-10,71
2023-09-17,65
2023-09-24,65
2023-10-01,62
2023-10-08,61
2023-10-15,57
2023-10-22,72
2023-10-29,71
2023-11-05,61
2023-11-12,57
2023-11-19,66
2023-11-26,59
2023-12-03,57
2023-12-10,54
2023-12-17,51
2023-12-24,62
2023-12-31,57
2024-01-07,61
2024-01-14,68
2024-01-21,67
2024-01-28,72
2024-02-04,64
2024-02-11,94
2024-02-18,43
2024-02-25,42
2024-03-03,46
2024-03-10,54
2024-03-17,57
2024-03-24,61
2024-03-31,57
2024-04-07,49
2024-04-14,45
2024-04-21,51
2024-04-28,62
2024-05-05,47
2024-05-12,41
2024-05-19,40
2024-05-26,34
2024-06-02,33
2024-06-09,40
2024-06-16,31
2024-06-23,32
2024-06-30,29
2024-07-07,33
2024-07-14,28
2024-07-21,30
2024-07-28,26
2024-08-04,28
2024-08-11,31
2024-08-18,34
2024-08-25,40
2024-09-01,61
2024-09-08,76
2024-09-15,65
2024-09-22,61
2024-09-29,66
2024-10-06,61
2024-10-13,66
2024-10-20,93
2024-10-27,81
2024-11-03,74
2024-11-10,82
2024-11-17,73
2024-11-24,78
2024-12-01,71
2024-12-08,61
2024-12-15,71
2024-12-22,79
2024-12-29,77
2025-01-05,75
2025-01-12,79
2025-01-19,68
2025-01-26,80
2025-02-02,61
2025-02-09,100
2025-02-16,49
2025-02-23,55
2025-03-02,57
