Category: All categories

Week,Michelob Ultra: (Worldwide)
2020-03-01,16
2020-03-08,18
2020-03-15,17
2020-03-22,18
2020-03-29,22
2020-04-05,25
2020-04-12,24
2020-04-19,28
2020-04-26,28
2020-05-03,25
2020-05-10,27
2020-05-17,29
2020-05-24,36
2020-05-31,27
2020-06-07,33
2020-06-14,35
2020-06-21,37
2020-06-28,42
2020-07-05,36
2020-07-12,19
2020-07-19,16
2020-07-26,20
2020-08-02,22
2020-08-09,19
2020-08-16,28
2020-08-23,27
2020-08-30,28
2020-09-06,27
2020-09-13,30
2020-09-20,33
2020-09-27,17
2020-10-04,14
2020-10-11,5
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,7
2020-11-15,13
2020-11-22,16
2020-11-29,13
2020-12-06,11
2020-12-13,3
2020-12-20,4
2020-12-27,11
2021-01-03,11
2021-01-10,18
2021-01-17,18
2021-01-24,18
2021-01-31,14
2021-02-07,19
2021-02-14,19
2021-02-21,23
2021-02-28,26
2021-03-07,27
2021-03-14,26
2021-03-21,34
2021-03-28,42
2021-04-04,35
2021-04-11,37
2021-04-18,35
2021-04-25,28
2021-05-02,28
2021-05-09,28
2021-05-16,33
2021-05-23,35
2021-05-30,30
2021-06-06,27
2021-06-13,28
2021-06-20,34
2021-06-27,41
2021-07-04,30
2021-07-11,32
2021-07-18,35
2021-07-25,32
2021-08-01,30
2021-08-08,33
2021-08-15,30
2021-08-22,30
2021-08-29,35
2021-09-05,34
2021-09-12,40
2021-09-19,29
2021-09-26,30
2021-10-03,29
2021-10-10,30
2021-10-17,25
2021-10-24,24
2021-10-31,20
2021-11-07,21
2021-11-14,20
2021-11-21,28
2021-11-28,13
2021-12-05,2
2021-12-12,4
2021-12-19,14
2021-12-26,24
2022-01-02,14
2022-01-09,19
2022-01-16,17
2022-01-23,17
2022-01-30,19
2022-02-06,26
2022-02-13,54
2022-02-20,26
2022-02-27,32
2022-03-06,22
2022-03-13,26
2022-03-20,33
2022-03-27,35
2022-04-03,36
2022-04-10,39
2022-04-17,39
2022-04-24,41
2022-05-01,40
2022-05-08,41
2022-05-15,43
2022-05-22,51
2022-05-29,47
2022-06-05,42
2022-06-12,45
2022-06-19,39
2022-06-26,41
2022-07-03,37
2022-07-10,27
2022-07-17,28
2022-07-24,30
2022-07-31,33
2022-08-07,39
2022-08-14,29
2022-08-21,31
2022-08-28,32
2022-09-04,30
2022-09-11,23
2022-09-18,22
2022-09-25,17
2022-10-02,25
2022-10-09,35
2022-10-16,31
2022-10-23,32
2022-10-30,28
2022-11-06,30
2022-11-13,31
2022-11-20,31
2022-11-27,26
2022-12-04,27
2022-12-11,27
2022-12-18,33
2022-12-25,38
2023-01-01,31
2023-01-08,33
2023-01-15,36
2023-01-22,35
2023-01-29,42
2023-02-05,34
2023-02-12,55
2023-02-19,31
2023-02-26,32
2023-03-05,34
2023-03-12,37
2023-03-19,39
2023-03-26,37
2023-04-02,86
2023-04-09,63
2023-04-16,54
2023-04-23,47
2023-04-30,51
2023-05-07,48
2023-05-14,48
2023-05-21,53
2023-05-28,53
2023-06-04,51
2023-06-11,54
2023-06-18,49
2023-06-25,49
2023-07-02,48
2023-07-09,41
2023-07-16,41
2023-07-23,38
2023-07-30,34
2023-08-06,41
2023-08-13,37
2023-08-20,35
2023-08-27,22
2023-09-03,8
2023-09-10,33
2023-09-17,28
2023-09-24,29
2023-10-01,30
2023-10-08,30
2023-10-15,32
2023-10-22,33
2023-10-29,26
2023-11-05,28
2023-11-12,26
2023-11-19,30
2023-11-26,28
2023-12-03,29
2023-12-10,33
2023-12-17,34
2023-12-24,43
2023-12-31,42
2024-01-07,35
2024-01-14,39
2024-01-21,40
2024-01-28,48
2024-02-04,48
2024-02-11,62
2024-02-18,41
2024-02-25,42
2024-03-03,41
2024-03-10,46
2024-03-17,44
2024-03-24,46
2024-03-31,46
2024-04-07,45
2024-04-14,44
2024-04-21,48
2024-04-28,54
2024-05-05,50
2024-05-12,52
2024-05-19,56
2024-05-26,54
2024-06-02,50
2024-06-09,54
2024-06-16,54
2024-06-23,57
2024-06-30,71
2024-07-07,61
2024-07-14,62
2024-07-21,59
2024-07-28,54
2024-08-04,49
2024-08-11,52
2024-08-18,51
2024-08-25,57
2024-09-01,54
2024-09-08,53
2024-09-15,51
2024-09-22,56
2024-09-29,48
2024-10-06,51
2024-10-13,46
2024-10-20,50
2024-10-27,51
2024-11-03,44
2024-11-10,48
2024-11-17,51
2024-11-24,56
2024-12-01,55
2024-12-08,55
2024-12-15,57
2024-12-22,65
2024-12-29,66
2025-01-05,52
2025-01-12,51
2025-01-19,48
2025-01-26,50
2025-02-02,60
2025-02-09,100
2025-02-16,48
2025-02-23,44
2025-03-02,53
