Category: All categories

Week,Microsoft Copilot: (Worldwide)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,0
2022-05-15,0
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,<1
2023-02-19,2
2023-02-26,2
2023-03-05,3
2023-03-12,5
2023-03-19,6
2023-03-26,6
2023-04-02,4
2023-04-09,4
2023-04-16,4
2023-04-23,5
2023-04-30,5
2023-05-07,5
2023-05-14,4
2023-05-21,8
2023-05-28,9
2023-06-04,9
2023-06-11,9
2023-06-18,9
2023-06-25,7
2023-07-02,7
2023-07-09,9
2023-07-16,8
2023-07-23,8
2023-07-30,7
2023-08-06,7
2023-08-13,7
2023-08-20,7
2023-08-27,8
2023-09-03,9
2023-09-10,11
2023-09-17,11
2023-09-24,11
2023-10-01,17
2023-10-08,16
2023-10-15,19
2023-10-22,22
2023-10-29,23
2023-11-05,24
2023-11-12,22
2023-11-19,36
2023-11-26,27
2023-12-03,37
2023-12-10,37
2023-12-17,32
2023-12-24,31
2023-12-31,46
2024-01-07,44
2024-01-14,55
2024-01-21,51
2024-01-28,55
2024-02-04,58
2024-02-11,73
2024-02-18,78
2024-02-25,78
2024-03-03,81
2024-03-10,81
2024-03-17,85
2024-03-24,78
2024-03-31,79
2024-04-07,82
2024-04-14,82
2024-04-21,82
2024-04-28,58
2024-05-05,62
2024-05-12,70
2024-05-19,83
2024-05-26,66
2024-06-02,72
2024-06-09,64
2024-06-16,65
2024-06-23,59
2024-06-30,51
2024-07-07,47
2024-07-14,53
2024-07-21,49
2024-07-28,45
2024-08-04,46
2024-08-11,53
2024-08-18,59
2024-08-25,64
2024-09-01,64
2024-09-08,70
2024-09-15,83
2024-09-22,88
2024-09-29,82
2024-10-06,91
2024-10-13,89
2024-10-20,92
2024-10-27,87
2024-11-03,88
2024-11-10,100
2024-11-17,96
2024-11-24,85
2024-12-01,80
2024-12-08,84
2024-12-15,70
2024-12-22,50
2024-12-29,45
2025-01-05,68
2025-01-12,79
2025-01-19,84
2025-01-26,81
2025-02-02,86
2025-02-09,74
2025-02-16,77
2025-02-23,83
2025-03-02,73
