Category: All categories

Week,NERDS Candy Gummy Clusters: (Worldwide)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,0
2020-10-04,0
2020-10-11,0
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,0
2021-07-18,0
2021-07-25,0
2021-08-01,0
2021-08-08,0
2021-08-15,0
2021-08-22,0
2021-08-29,0
2021-09-05,0
2021-09-12,0
2021-09-19,0
2021-09-26,0
2021-10-03,0
2021-10-10,0
2021-10-17,0
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,0
2021-11-21,0
2021-11-28,0
2021-12-05,0
2021-12-12,0
2021-12-19,0
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,11
2022-04-03,11
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,5
2022-05-08,21
2022-05-15,10
2022-05-22,14
2022-05-29,15
2022-06-05,16
2022-06-12,14
2022-06-19,20
2022-06-26,20
2022-07-03,19
2022-07-10,20
2022-07-17,28
2022-07-24,22
2022-07-31,27
2022-08-07,28
2022-08-14,25
2022-08-21,25
2022-08-28,22
2022-09-04,24
2022-09-11,25
2022-09-18,24
2022-09-25,27
2022-10-02,25
2022-10-09,26
2022-10-16,25
2022-10-23,30
2022-10-30,33
2022-11-06,30
2022-11-13,30
2022-11-20,24
2022-11-27,26
2022-12-04,36
2022-12-11,41
2022-12-18,40
2022-12-25,23
2023-01-01,28
2023-01-08,31
2023-01-15,32
2023-01-22,39
2023-01-29,41
2023-02-05,45
2023-02-12,57
2023-02-19,42
2023-02-26,45
2023-03-05,41
2023-03-12,38
2023-03-19,42
2023-03-26,44
2023-04-02,48
2023-04-09,46
2023-04-16,45
2023-04-23,41
2023-04-30,50
2023-05-07,44
2023-05-14,42
2023-05-21,40
2023-05-28,36
2023-06-04,39
2023-06-11,37
2023-06-18,33
2023-06-25,31
2023-07-02,31
2023-07-09,34
2023-07-16,32
2023-07-23,31
2023-07-30,32
2023-08-06,31
2023-08-13,32
2023-08-20,34
2023-08-27,34
2023-09-03,32
2023-09-10,36
2023-09-17,35
2023-09-24,37
2023-10-01,37
2023-10-08,40
2023-10-15,41
2023-10-22,40
2023-10-29,54
2023-11-05,40
2023-11-12,41
2023-11-19,37
2023-11-26,43
2023-12-03,43
2023-12-10,48
2023-12-17,46
2023-12-24,29
2023-12-31,30
2024-01-07,33
2024-01-14,33
2024-01-21,42
2024-01-28,44
2024-02-04,54
2024-02-11,100
2024-02-18,56
2024-02-25,55
2024-03-03,53
2024-03-10,57
2024-03-17,59
2024-03-24,69
2024-03-31,57
2024-04-07,64
2024-04-14,71
2024-04-21,79
2024-04-28,72
2024-05-05,75
2024-05-12,79
2024-05-19,83
2024-05-26,73
2024-06-02,68
2024-06-09,66
2024-06-16,57
2024-06-23,56
2024-06-30,55
2024-07-07,75
2024-07-14,68
2024-07-21,51
2024-07-28,61
2024-08-04,54
2024-08-11,53
2024-08-18,56
2024-08-25,53
2024-09-01,47
2024-09-08,55
2024-09-15,52
2024-09-22,45
2024-09-29,51
2024-10-06,33
2024-10-13,32
2024-10-20,39
2024-10-27,50
2024-11-03,28
2024-11-10,33
2024-11-17,31
2024-11-24,38
2024-12-01,42
2024-12-08,35
2024-12-15,34
2024-12-22,25
2024-12-29,22
2025-01-05,24
2025-01-12,34
2025-01-19,30
2025-01-26,29
2025-02-02,36
2025-02-09,32
2025-02-16,27
2025-02-23,29
2025-03-02,28
