Category: All categories

Week,NFL: (Worldwide)
2020-03-01,6
2020-03-08,6
2020-03-15,13
2020-03-22,8
2020-03-29,6
2020-04-05,7
2020-04-12,7
2020-04-19,15
2020-04-26,8
2020-05-03,7
2020-05-10,5
2020-05-17,5
2020-05-24,4
2020-05-31,4
2020-06-07,4
2020-06-14,4
2020-06-21,4
2020-06-28,5
2020-07-05,5
2020-07-12,5
2020-07-19,6
2020-07-26,5
2020-08-02,5
2020-08-09,5
2020-08-16,6
2020-08-23,7
2020-08-30,11
2020-09-06,27
2020-09-13,48
2020-09-20,40
2020-09-27,41
2020-10-04,40
2020-10-11,39
2020-10-18,37
2020-10-25,35
2020-11-01,32
2020-11-08,32
2020-11-15,32
2020-11-22,38
2020-11-29,35
2020-12-06,40
2020-12-13,38
2020-12-20,51
2020-12-27,45
2021-01-03,52
2021-01-10,64
2021-01-17,52
2021-01-24,34
2021-01-31,10
2021-02-07,19
2021-02-14,7
2021-02-21,5
2021-02-28,6
2021-03-07,6
2021-03-14,9
2021-03-21,7
2021-03-28,7
2021-04-04,7
2021-04-11,6
2021-04-18,8
2021-04-25,33
2021-05-02,7
2021-05-09,7
2021-05-16,4
2021-05-23,4
2021-05-30,4
2021-06-06,4
2021-06-13,3
2021-06-20,4
2021-06-27,3
2021-07-04,3
2021-07-11,4
2021-07-18,4
2021-07-25,5
2021-08-01,7
2021-08-08,10
2021-08-15,13
2021-08-22,15
2021-08-29,16
2021-09-05,25
2021-09-12,44
2021-09-19,39
2021-09-26,42
2021-10-03,42
2021-10-10,43
2021-10-17,39
2021-10-24,39
2021-10-31,39
2021-11-07,37
2021-11-14,37
2021-11-21,47
2021-11-28,34
2021-12-05,37
2021-12-12,44
2021-12-19,65
2021-12-26,53
2022-01-02,48
2022-01-09,65
2022-01-16,68
2022-01-23,63
2022-01-30,41
2022-02-06,13
2022-02-13,19
2022-02-20,5
2022-02-27,6
2022-03-06,8
2022-03-13,11
2022-03-20,9
2022-03-27,7
2022-04-03,7
2022-04-10,7
2022-04-17,7
2022-04-24,30
2022-05-01,8
2022-05-08,6
2022-05-15,4
2022-05-22,4
2022-05-29,4
2022-06-05,4
2022-06-12,4
2022-06-19,4
2022-06-26,3
2022-07-03,4
2022-07-10,4
2022-07-17,5
2022-07-24,6
2022-07-31,8
2022-08-07,12
2022-08-14,14
2022-08-21,15
2022-08-28,15
2022-09-04,24
2022-09-11,43
2022-09-18,42
2022-09-25,41
2022-10-02,41
2022-10-09,42
2022-10-16,43
2022-10-23,37
2022-10-30,38
2022-11-06,35
2022-11-13,39
2022-11-20,44
2022-11-27,33
2022-12-04,36
2022-12-11,43
2022-12-18,55
2022-12-25,45
2023-01-01,58
2023-01-08,63
2023-01-15,80
2023-01-22,59
2023-01-29,41
2023-02-05,11
2023-02-12,19
2023-02-19,6
2023-02-26,6
2023-03-05,8
2023-03-12,11
2023-03-19,7
2023-03-26,6
2023-04-02,6
2023-04-09,6
2023-04-16,7
2023-04-23,33
2023-04-30,8
2023-05-07,7
2023-05-14,4
2023-05-21,4
2023-05-28,4
2023-06-04,4
2023-06-11,4
2023-06-18,3
2023-06-25,4
2023-07-02,3
2023-07-09,5
2023-07-16,5
2023-07-23,6
2023-07-30,9
2023-08-06,13
2023-08-13,14
2023-08-20,17
2023-08-27,16
2023-09-03,27
2023-09-10,48
2023-09-17,44
2023-09-24,48
2023-10-01,44
2023-10-08,44
2023-10-15,40
2023-10-22,39
2023-10-29,40
2023-11-05,39
2023-11-12,39
2023-11-19,53
2023-11-26,38
2023-12-03,40
2023-12-10,52
2023-12-17,52
2023-12-24,69
2023-12-31,54
2024-01-07,68
2024-01-14,100
2024-01-21,67
2024-01-28,44
2024-02-04,13
2024-02-11,26
2024-02-18,7
2024-02-25,7
2024-03-03,8
2024-03-10,13
2024-03-17,8
2024-03-24,8
2024-03-31,7
2024-04-07,6
2024-04-14,7
2024-04-21,36
2024-04-28,9
2024-05-05,5
2024-05-12,8
2024-05-19,4
2024-05-26,4
2024-06-02,4
2024-06-09,4
2024-06-16,4
2024-06-23,4
2024-06-30,4
2024-07-07,4
2024-07-14,5
2024-07-21,5
2024-07-28,8
2024-08-04,11
2024-08-11,14
2024-08-18,15
2024-08-25,16
2024-09-01,38
2024-09-08,47
2024-09-15,42
2024-09-22,42
2024-09-29,44
2024-10-06,41
2024-10-13,40
2024-10-20,40
2024-10-27,40
2024-11-03,39
2024-11-10,38
2024-11-17,38
2024-11-24,52
2024-12-01,38
2024-12-08,38
2024-12-15,44
2024-12-22,67
2024-12-29,55
2025-01-05,61
2025-01-12,78
2025-01-19,62
2025-01-26,44
2025-02-02,14
2025-02-09,23
2025-02-16,7
2025-02-23,7
2025-03-02,8
