Category: All categories

Week,NFL Sunday Ticket: (Worldwide)
2020-03-01,1
2020-03-08,1
2020-03-15,1
2020-03-22,1
2020-03-29,1
2020-04-05,1
2020-04-12,1
2020-04-19,1
2020-04-26,1
2020-05-03,1
2020-05-10,1
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,1
2020-06-21,1
2020-06-28,1
2020-07-05,1
2020-07-12,1
2020-07-19,2
2020-07-26,2
2020-08-02,3
2020-08-09,3
2020-08-16,5
2020-08-23,7
2020-08-30,14
2020-09-06,44
2020-09-13,76
2020-09-20,39
2020-09-27,24
2020-10-04,14
2020-10-11,10
2020-10-18,10
2020-10-25,10
2020-11-01,9
2020-11-08,8
2020-11-15,9
2020-11-22,8
2020-11-29,6
2020-12-06,8
2020-12-13,7
2020-12-20,7
2020-12-27,7
2021-01-03,7
2021-01-10,2
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,3
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,2
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,2
2021-07-04,2
2021-07-11,2
2021-07-18,3
2021-07-25,4
2021-08-01,7
2021-08-08,14
2021-08-15,13
2021-08-22,13
2021-08-29,14
2021-09-05,27
2021-09-12,50
2021-09-19,17
2021-09-26,15
2021-10-03,14
2021-10-10,11
2021-10-17,10
2021-10-24,9
2021-10-31,8
2021-11-07,8
2021-11-14,8
2021-11-21,7
2021-11-28,7
2021-12-05,6
2021-12-12,7
2021-12-19,8
2021-12-26,6
2022-01-02,8
2022-01-09,7
2022-01-16,2
2022-01-23,2
2022-01-30,1
2022-02-06,1
2022-02-13,1
2022-02-20,1
2022-02-27,1
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,3
2022-04-24,2
2022-05-01,1
2022-05-08,2
2022-05-15,1
2022-05-22,2
2022-05-29,1
2022-06-05,1
2022-06-12,2
2022-06-19,2
2022-06-26,2
2022-07-03,3
2022-07-10,4
2022-07-17,5
2022-07-24,8
2022-07-31,9
2022-08-07,15
2022-08-14,13
2022-08-21,13
2022-08-28,13
2022-09-04,28
2022-09-11,69
2022-09-18,42
2022-09-25,17
2022-10-02,15
2022-10-09,10
2022-10-16,10
2022-10-23,10
2022-10-30,8
2022-11-06,7
2022-11-13,7
2022-11-20,7
2022-11-27,6
2022-12-04,7
2022-12-11,7
2022-12-18,29
2022-12-25,7
2023-01-01,8
2023-01-08,9
2023-01-15,3
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,8
2023-02-19,2
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,19
2023-04-16,9
2023-04-23,13
2023-04-30,7
2023-05-07,6
2023-05-14,6
2023-05-21,7
2023-05-28,10
2023-06-04,12
2023-06-11,4
2023-06-18,4
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,6
2023-07-23,11
2023-07-30,19
2023-08-06,10
2023-08-13,12
2023-08-20,45
2023-08-27,39
2023-09-03,76
2023-09-10,100
2023-09-17,42
2023-09-24,24
2023-10-01,14
2023-10-08,10
2023-10-15,8
2023-10-22,8
2023-10-29,11
2023-11-05,7
2023-11-12,6
2023-11-19,8
2023-11-26,6
2023-12-03,5
2023-12-10,6
2023-12-17,5
2023-12-24,6
2023-12-31,7
2024-01-07,7
2024-01-14,3
2024-01-21,2
2024-01-28,2
2024-02-04,1
2024-02-11,3
2024-02-18,1
2024-02-25,1
2024-03-03,1
2024-03-10,1
2024-03-17,1
2024-03-24,1
2024-03-31,1
2024-04-07,1
2024-04-14,1
2024-04-21,3
2024-04-28,2
2024-05-05,2
2024-05-12,7
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,3
2024-06-16,4
2024-06-23,14
2024-06-30,9
2024-07-07,5
2024-07-14,5
2024-07-21,7
2024-07-28,14
2024-08-04,22
2024-08-11,21
2024-08-18,30
2024-08-25,24
2024-09-01,50
2024-09-08,68
2024-09-15,35
2024-09-22,19
2024-09-29,13
2024-10-06,10
2024-10-13,9
2024-10-20,8
2024-10-27,9
2024-11-03,7
2024-11-10,6
2024-11-17,6
2024-11-24,9
2024-12-01,5
2024-12-08,5
2024-12-15,5
2024-12-22,7
2024-12-29,5
2025-01-05,7
2025-01-12,2
2025-01-19,2
2025-01-26,2
2025-02-02,1
2025-02-09,1
2025-02-16,1
2025-02-23,1
2025-03-02,1
