Category: All categories

Week,Pfizer: (Worldwide)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,3
2020-05-03,4
2020-05-10,4
2020-05-17,3
2020-05-24,3
2020-05-31,3
2020-06-07,4
2020-06-14,4
2020-06-21,4
2020-06-28,4
2020-07-05,3
2020-07-12,2
2020-07-19,3
2020-07-26,3
2020-08-02,2
2020-08-09,2
2020-08-16,3
2020-08-23,2
2020-08-30,4
2020-09-06,4
2020-09-13,4
2020-09-20,4
2020-09-27,4
2020-10-04,5
2020-10-11,5
2020-10-18,5
2020-10-25,5
2020-11-01,5
2020-11-08,6
2020-11-15,4
2020-11-22,3
2020-11-29,4
2020-12-06,5
2020-12-13,4
2020-12-20,3
2020-12-27,3
2021-01-03,5
2021-01-10,5
2021-01-17,5
2021-01-24,5
2021-01-31,5
2021-02-07,4
2021-02-14,5
2021-02-21,1
2021-02-28,0
2021-03-07,0
2021-03-14,0
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,3
2021-06-06,56
2021-06-13,16
2021-06-20,41
2021-06-27,100
2021-07-04,35
2021-07-11,29
2021-07-18,5
2021-07-25,1
2021-08-01,1
2021-08-08,2
2021-08-15,1
2021-08-22,<1
2021-08-29,2
2021-09-05,2
2021-09-12,3
2021-09-19,8
2021-09-26,8
2021-10-03,7
2021-10-10,5
2021-10-17,6
2021-10-24,5
2021-10-31,18
2021-11-07,14
2021-11-14,11
2021-11-21,10
2021-11-28,10
2021-12-05,6
2021-12-12,15
2021-12-19,24
2021-12-26,14
2022-01-02,13
2022-01-09,11
2022-01-16,12
2022-01-23,8
2022-01-30,6
2022-02-06,6
2022-02-13,5
2022-02-20,4
2022-02-27,5
2022-03-06,4
2022-03-13,5
2022-03-20,4
2022-03-27,5
2022-04-03,5
2022-04-10,4
2022-04-17,4
2022-04-24,4
2022-05-01,4
2022-05-08,3
2022-05-15,5
2022-05-22,5
2022-05-29,4
2022-06-05,3
2022-06-12,4
2022-06-19,3
2022-06-26,3
2022-07-03,4
2022-07-10,3
2022-07-17,3
2022-07-24,3
2022-07-31,2
2022-08-07,3
2022-08-14,3
2022-08-21,3
2022-08-28,3
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,3
2022-10-02,2
2022-10-09,3
2022-10-16,3
2022-10-23,4
2022-10-30,3
2022-11-06,4
2022-11-13,5
2022-11-20,5
2022-11-27,4
2022-12-04,4
2022-12-11,4
2022-12-18,4
2022-12-25,6
2023-01-01,5
2023-01-08,5
2023-01-15,4
2023-01-22,3
2023-01-29,3
2023-02-05,5
2023-02-12,4
2023-02-19,3
2023-02-26,4
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,1
2023-04-09,2
2023-04-16,2
2023-04-23,1
2023-04-30,2
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,2
2023-07-02,1
2023-07-09,1
2023-07-16,1
2023-07-23,1
2023-07-30,1
2023-08-06,1
2023-08-13,1
2023-08-20,1
2023-08-27,1
2023-09-03,1
2023-09-10,1
2023-09-17,1
2023-09-24,1
2023-10-01,3
2023-10-08,1
2023-10-15,1
2023-10-22,1
2023-10-29,1
2023-11-05,1
2023-11-12,<1
2023-11-19,<1
2023-11-26,<1
2023-12-03,<1
2023-12-10,<1
2023-12-17,<1
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,<1
2024-01-21,<1
2024-01-28,<1
2024-02-04,<1
2024-02-11,0
2024-02-18,<1
2024-02-25,1
2024-03-03,0
2024-03-10,1
2024-03-17,<1
2024-03-24,<1
2024-03-31,1
2024-04-07,<1
2024-04-14,1
2024-04-21,1
2024-04-28,1
2024-05-05,<1
2024-05-12,1
2024-05-19,<1
2024-05-26,<1
2024-06-02,1
2024-06-09,1
2024-06-16,1
2024-06-23,1
2024-06-30,1
2024-07-07,<1
2024-07-14,1
2024-07-21,1
2024-07-28,0
2024-08-04,<1
2024-08-11,1
2024-08-18,1
2024-08-25,1
2024-09-01,0
2024-09-08,1
2024-09-15,<1
2024-09-22,<1
2024-09-29,1
2024-10-06,1
2024-10-13,<1
2024-10-20,1
2024-10-27,<1
2024-11-03,<1
2024-11-10,<1
2024-11-17,<1
2024-11-24,1
2024-12-01,<1
2024-12-08,0
2024-12-15,<1
2024-12-22,1
2024-12-29,1
2025-01-05,1
2025-01-12,1
2025-01-19,<1
2025-01-26,1
2025-02-02,1
2025-02-09,1
2025-02-16,1
2025-02-23,1
2025-03-02,1
