Category: All categories

Week,Pringles: (Worldwide)
2020-03-01,54
2020-03-08,50
2020-03-15,53
2020-03-22,53
2020-03-29,57
2020-04-05,60
2020-04-12,60
2020-04-19,62
2020-04-26,63
2020-05-03,66
2020-05-10,63
2020-05-17,69
2020-05-24,65
2020-05-31,72
2020-06-07,69
2020-06-14,65
2020-06-21,66
2020-06-28,68
2020-07-05,63
2020-07-12,60
2020-07-19,63
2020-07-26,69
2020-08-02,64
2020-08-09,65
2020-08-16,69
2020-08-23,62
2020-08-30,65
2020-09-06,66
2020-09-13,67
2020-09-20,58
2020-09-27,59
2020-10-04,63
2020-10-11,62
2020-10-18,64
2020-10-25,63
2020-11-01,57
2020-11-08,69
2020-11-15,72
2020-11-22,66
2020-11-29,72
2020-12-06,85
2020-12-13,73
2020-12-20,75
2020-12-27,83
2021-01-03,72
2021-01-10,69
2021-01-17,75
2021-01-24,74
2021-01-31,79
2021-02-07,78
2021-02-14,75
2021-02-21,75
2021-02-28,85
2021-03-07,70
2021-03-14,70
2021-03-21,100
2021-03-28,74
2021-04-04,71
2021-04-11,71
2021-04-18,69
2021-04-25,68
2021-05-02,69
2021-05-09,67
2021-05-16,66
2021-05-23,69
2021-05-30,68
2021-06-06,67
2021-06-13,64
2021-06-20,72
2021-06-27,67
2021-07-04,69
2021-07-11,63
2021-07-18,62
2021-07-25,63
2021-08-01,63
2021-08-08,68
2021-08-15,69
2021-08-22,71
2021-08-29,62
2021-09-05,60
2021-09-12,59
2021-09-19,64
2021-09-26,57
2021-10-03,56
2021-10-10,61
2021-10-17,65
2021-10-24,59
2021-10-31,70
2021-11-07,68
2021-11-14,72
2021-11-21,68
2021-11-28,65
2021-12-05,64
2021-12-12,69
2021-12-19,67
2021-12-26,79
2022-01-02,77
2022-01-09,92
2022-01-16,72
2022-01-23,74
2022-01-30,79
2022-02-06,78
2022-02-13,80
2022-02-20,69
2022-02-27,69
2022-03-06,70
2022-03-13,66
2022-03-20,69
2022-03-27,68
2022-04-03,69
2022-04-10,72
2022-04-17,67
2022-04-24,69
2022-05-01,69
2022-05-08,71
2022-05-15,74
2022-05-22,73
2022-05-29,74
2022-06-05,78
2022-06-12,76
2022-06-19,86
2022-06-26,78
2022-07-03,85
2022-07-10,94
2022-07-17,83
2022-07-24,78
2022-07-31,79
2022-08-07,80
2022-08-14,80
2022-08-21,75
2022-08-28,73
2022-09-04,68
2022-09-11,70
2022-09-18,71
2022-09-25,74
2022-10-02,73
2022-10-09,71
2022-10-16,74
2022-10-23,75
2022-10-30,71
2022-11-06,78
2022-11-13,81
2022-11-20,79
2022-11-27,79
2022-12-04,81
2022-12-11,79
2022-12-18,82
2022-12-25,100
2023-01-01,84
2023-01-08,84
2023-01-15,89
2023-01-22,84
2023-01-29,79
2023-02-05,80
2023-02-12,76
2023-02-19,77
2023-02-26,83
2023-03-05,77
2023-03-12,76
2023-03-19,71
2023-03-26,72
2023-04-02,73
2023-04-09,78
2023-04-16,80
2023-04-23,76
2023-04-30,77
2023-05-07,71
2023-05-14,73
2023-05-21,74
2023-05-28,75
2023-06-04,74
2023-06-11,77
2023-06-18,74
2023-06-25,75
2023-07-02,75
2023-07-09,73
2023-07-16,68
2023-07-23,70
2023-07-30,71
2023-08-06,71
2023-08-13,67
2023-08-20,68
2023-08-27,67
2023-09-03,68
2023-09-10,64
2023-09-17,65
2023-09-24,68
2023-10-01,66
2023-10-08,65
2023-10-15,80
2023-10-22,75
2023-10-29,75
2023-11-05,75
2023-11-12,82
2023-11-19,78
2023-11-26,78
2023-12-03,73
2023-12-10,74
2023-12-17,73
2023-12-24,73
2023-12-31,72
2024-01-07,62
2024-01-14,60
2024-01-21,67
2024-01-28,68
2024-02-04,69
2024-02-11,70
2024-02-18,73
2024-02-25,67
2024-03-03,70
2024-03-10,66
2024-03-17,66
2024-03-24,70
2024-03-31,69
2024-04-07,70
2024-04-14,77
2024-04-21,69
2024-04-28,71
2024-05-05,66
2024-05-12,68
2024-05-19,70
2024-05-26,69
2024-06-02,63
2024-06-09,61
2024-06-16,71
2024-06-23,61
2024-06-30,67
2024-07-07,70
2024-07-14,63
2024-07-21,69
2024-07-28,67
2024-08-04,67
2024-08-11,77
2024-08-18,66
2024-08-25,71
2024-09-01,61
2024-09-08,61
2024-09-15,63
2024-09-22,61
2024-09-29,61
2024-10-06,71
2024-10-13,71
2024-10-20,71
2024-10-27,72
2024-11-03,71
2024-11-10,77
2024-11-17,77
2024-11-24,78
2024-12-01,74
2024-12-08,69
2024-12-15,72
2024-12-22,71
2024-12-29,73
2025-01-05,72
2025-01-12,74
2025-01-19,72
2025-01-26,73
2025-02-02,78
2025-02-09,83
2025-02-16,77
2025-02-23,76
2025-03-02,75
