Category: All categories

Week,T-Mobile: (Worldwide)
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,0
2020-04-19,0
2020-04-26,0
2020-05-03,0
2020-05-10,0
2020-05-17,0
2020-05-24,0
2020-05-31,0
2020-06-07,0
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,0
2020-07-26,0
2020-08-02,<1
2020-08-09,<1
2020-08-16,2
2020-08-23,3
2020-08-30,4
2020-09-06,4
2020-09-13,2
2020-09-20,2
2020-09-27,4
2020-10-04,5
2020-10-11,6
2020-10-18,7
2020-10-25,7
2020-11-01,6
2020-11-08,7
2020-11-15,7
2020-11-22,7
2020-11-29,7
2020-12-06,7
2020-12-13,7
2020-12-20,7
2020-12-27,8
2021-01-03,7
2021-01-10,6
2021-01-17,6
2021-01-24,6
2021-01-31,6
2021-02-07,9
2021-02-14,14
2021-02-21,49
2021-02-28,34
2021-03-07,7
2021-03-14,8
2021-03-21,7
2021-03-28,10
2021-04-04,13
2021-04-11,29
2021-04-18,48
2021-04-25,48
2021-05-02,33
2021-05-09,29
2021-05-16,33
2021-05-23,43
2021-05-30,39
2021-06-06,35
2021-06-13,36
2021-06-20,42
2021-06-27,24
2021-07-04,22
2021-07-11,33
2021-07-18,40
2021-07-25,40
2021-08-01,41
2021-08-08,38
2021-08-15,41
2021-08-22,42
2021-08-29,37
2021-09-05,30
2021-09-12,37
2021-09-19,37
2021-09-26,38
2021-10-03,37
2021-10-10,65
2021-10-17,67
2021-10-24,63
2021-10-31,64
2021-11-07,65
2021-11-14,68
2021-11-21,81
2021-11-28,80
2021-12-05,72
2021-12-12,81
2021-12-19,88
2021-12-26,80
2022-01-02,65
2022-01-09,60
2022-01-16,49
2022-01-23,29
2022-01-30,41
2022-02-06,62
2022-02-13,66
2022-02-20,61
2022-02-27,64
2022-03-06,62
2022-03-13,61
2022-03-20,60
2022-03-27,57
2022-04-03,64
2022-04-10,67
2022-04-17,54
2022-04-24,34
2022-05-01,31
2022-05-08,21
2022-05-15,25
2022-05-22,27
2022-05-29,25
2022-06-05,27
2022-06-12,22
2022-06-19,23
2022-06-26,23
2022-07-03,41
2022-07-10,43
2022-07-17,44
2022-07-24,44
2022-07-31,47
2022-08-07,52
2022-08-14,52
2022-08-21,49
2022-08-28,52
2022-09-04,62
2022-09-11,63
2022-09-18,96
2022-09-25,92
2022-10-02,87
2022-10-09,84
2022-10-16,78
2022-10-23,81
2022-10-30,76
2022-11-06,78
2022-11-13,77
2022-11-20,78
2022-11-27,77
2022-12-04,80
2022-12-11,86
2022-12-18,83
2022-12-25,82
2023-01-01,78
2023-01-08,74
2023-01-15,76
2023-01-22,75
2023-01-29,72
2023-02-05,71
2023-02-12,96
2023-02-19,76
2023-02-26,77
2023-03-05,75
2023-03-12,74
2023-03-19,73
2023-03-26,69
2023-04-02,75
2023-04-09,74
2023-04-16,75
2023-04-23,76
2023-04-30,78
2023-05-07,72
2023-05-14,73
2023-05-21,72
2023-05-28,77
2023-06-04,80
2023-06-11,81
2023-06-18,84
2023-06-25,80
2023-07-02,84
2023-07-09,86
2023-07-16,86
2023-07-23,84
2023-07-30,83
2023-08-06,83
2023-08-13,81
2023-08-20,81
2023-08-27,80
2023-09-03,80
2023-09-10,100
2023-09-17,96
2023-09-24,93
2023-10-01,84
2023-10-08,88
2023-10-15,94
2023-10-22,70
2023-10-29,73
2023-11-05,80
2023-11-12,78
2023-11-19,83
2023-11-26,82
2023-12-03,76
2023-12-10,60
2023-12-17,52
2023-12-24,55
2023-12-31,49
2024-01-07,47
2024-01-14,48
2024-01-21,52
2024-01-28,49
2024-02-04,51
2024-02-11,54
2024-02-18,62
2024-02-25,61
2024-03-03,67
2024-03-10,55
2024-03-17,49
2024-03-24,66
2024-03-31,68
2024-04-07,55
2024-04-14,67
2024-04-21,51
2024-04-28,59
2024-05-05,53
2024-05-12,52
2024-05-19,58
2024-05-26,60
2024-06-02,56
2024-06-09,52
2024-06-16,53
2024-06-23,53
2024-06-30,52
2024-07-07,57
2024-07-14,58
2024-07-21,62
2024-07-28,59
2024-08-04,59
2024-08-11,71
2024-08-18,70
2024-08-25,63
2024-09-01,58
2024-09-08,72
2024-09-15,75
2024-09-22,68
2024-09-29,69
2024-10-06,63
2024-10-13,56
2024-10-20,53
2024-10-27,54
2024-11-03,53
2024-11-10,59
2024-11-17,58
2024-11-24,60
2024-12-01,57
2024-12-08,60
2024-12-15,69
2024-12-22,64
2024-12-29,66
2025-01-05,58
2025-01-12,57
2025-01-19,56
2025-01-26,61
2025-02-02,58
2025-02-09,68
2025-02-16,62
2025-02-23,59
2025-03-02,60
