Category: All categories

Week,Toyota Tacoma: (Worldwide)
2020-03-01,62
2020-03-08,56
2020-03-15,46
2020-03-22,45
2020-03-29,45
2020-04-05,50
2020-04-12,53
2020-04-19,58
2020-04-26,65
2020-05-03,64
2020-05-10,70
2020-05-17,74
2020-05-24,73
2020-05-31,70
2020-06-07,70
2020-06-14,71
2020-06-21,75
2020-06-28,75
2020-07-05,70
2020-07-12,72
2020-07-19,74
2020-07-26,73
2020-08-02,72
2020-08-09,66
2020-08-16,73
2020-08-23,69
2020-08-30,66
2020-09-06,67
2020-09-13,69
2020-09-20,68
2020-09-27,66
2020-10-04,65
2020-10-11,64
2020-10-18,66
2020-10-25,62
2020-11-01,54
2020-11-08,61
2020-11-15,61
2020-11-22,62
2020-11-29,65
2020-12-06,62
2020-12-13,61
2020-12-20,62
2020-12-27,70
2021-01-03,65
2021-01-10,67
2021-01-17,65
2021-01-24,72
2021-01-31,68
2021-02-07,68
2021-02-14,71
2021-02-21,70
2021-02-28,70
2021-03-07,72
2021-03-14,72
2021-03-21,73
2021-03-28,73
2021-04-04,70
2021-04-11,69
2021-04-18,73
2021-04-25,74
2021-05-02,67
2021-05-09,69
2021-05-16,66
2021-05-23,67
2021-05-30,73
2021-06-06,73
2021-06-13,70
2021-06-20,71
2021-06-27,68
2021-07-04,68
2021-07-11,66
2021-07-18,70
2021-07-25,69
2021-08-01,67
2021-08-08,70
2021-08-15,70
2021-08-22,70
2021-08-29,68
2021-09-05,66
2021-09-12,64
2021-09-19,68
2021-09-26,68
2021-10-03,64
2021-10-10,63
2021-10-17,64
2021-10-24,63
2021-10-31,63
2021-11-07,64
2021-11-14,64
2021-11-21,63
2021-11-28,65
2021-12-05,66
2021-12-12,73
2021-12-19,62
2021-12-26,71
2022-01-02,65
2022-01-09,63
2022-01-16,56
2022-01-23,62
2022-01-30,65
2022-02-06,69
2022-02-13,66
2022-02-20,65
2022-02-27,65
2022-03-06,67
2022-03-13,65
2022-03-20,64
2022-03-27,61
2022-04-03,62
2022-04-10,65
2022-04-17,63
2022-04-24,63
2022-05-01,61
2022-05-08,59
2022-05-15,58
2022-05-22,59
2022-05-29,60
2022-06-05,60
2022-06-12,59
2022-06-19,59
2022-06-26,60
2022-07-03,60
2022-07-10,61
2022-07-17,63
2022-07-24,60
2022-07-31,61
2022-08-07,63
2022-08-14,63
2022-08-21,63
2022-08-28,60
2022-09-04,60
2022-09-11,57
2022-09-18,57
2022-09-25,57
2022-10-02,59
2022-10-09,59
2022-10-16,57
2022-10-23,59
2022-10-30,55
2022-11-06,57
2022-11-13,55
2022-11-20,51
2022-11-27,54
2022-12-04,55
2022-12-11,55
2022-12-18,56
2022-12-25,64
2023-01-01,63
2023-01-08,64
2023-01-15,62
2023-01-22,63
2023-01-29,65
2023-02-05,63
2023-02-12,59
2023-02-19,64
2023-02-26,63
2023-03-05,62
2023-03-12,61
2023-03-19,65
2023-03-26,65
2023-04-02,70
2023-04-09,70
2023-04-16,67
2023-04-23,69
2023-04-30,68
2023-05-07,73
2023-05-14,100
2023-05-21,98
2023-05-28,74
2023-06-04,74
2023-06-11,74
2023-06-18,75
2023-06-25,72
2023-07-02,68
2023-07-09,72
2023-07-16,70
2023-07-23,71
2023-07-30,73
2023-08-06,71
2023-08-13,67
2023-08-20,69
2023-08-27,67
2023-09-03,65
2023-09-10,64
2023-09-17,64
2023-09-24,76
2023-10-01,68
2023-10-08,65
2023-10-15,65
2023-10-22,66
2023-10-29,65
2023-11-05,69
2023-11-12,66
2023-11-19,66
2023-11-26,76
2023-12-03,75
2023-12-10,70
2023-12-17,70
2023-12-24,70
2023-12-31,69
2024-01-07,69
2024-01-14,76
2024-01-21,73
2024-01-28,78
2024-02-04,77
2024-02-11,82
2024-02-18,81
2024-02-25,80
2024-03-03,76
2024-03-10,72
2024-03-17,74
2024-03-24,74
2024-03-31,76
2024-04-07,75
2024-04-14,75
2024-04-21,80
2024-04-28,74
2024-05-05,71
2024-05-12,72
2024-05-19,74
2024-05-26,69
2024-06-02,70
2024-06-09,68
2024-06-16,69
2024-06-23,67
2024-06-30,70
2024-07-07,72
2024-07-14,73
2024-07-21,71
2024-07-28,71
2024-08-04,72
2024-08-11,77
2024-08-18,76
2024-08-25,76
2024-09-01,71
2024-09-08,70
2024-09-15,73
2024-09-22,67
2024-09-29,64
2024-10-06,67
2024-10-13,68
2024-10-20,70
2024-10-27,69
2024-11-03,67
2024-11-10,66
2024-11-17,73
2024-11-24,71
2024-12-01,71
2024-12-08,70
2024-12-15,73
2024-12-22,79
2024-12-29,79
2025-01-05,79
2025-01-12,98
2025-01-19,86
2025-01-26,74
2025-02-02,75
2025-02-09,78
2025-02-16,77
2025-02-23,77
2025-03-02,81
