Category: All categories

Week,Uber Eats: (Worldwide)
2020-03-01,53
2020-03-08,52
2020-03-15,76
2020-03-22,82
2020-03-29,78
2020-04-05,77
2020-04-12,78
2020-04-19,90
2020-04-26,98
2020-05-03,100
2020-05-10,93
2020-05-17,87
2020-05-24,78
2020-05-31,77
2020-06-07,69
2020-06-14,68
2020-06-21,71
2020-06-28,71
2020-07-05,67
2020-07-12,71
2020-07-19,65
2020-07-26,67
2020-08-02,68
2020-08-09,62
2020-08-16,63
2020-08-23,62
2020-08-30,65
2020-09-06,63
2020-09-13,66
2020-09-20,69
2020-09-27,71
2020-10-04,68
2020-10-11,70
2020-10-18,69
2020-10-25,72
2020-11-01,71
2020-11-08,74
2020-11-15,72
2020-11-22,75
2020-11-29,72
2020-12-06,70
2020-12-13,69
2020-12-20,64
2020-12-27,73
2021-01-03,67
2021-01-10,68
2021-01-17,73
2021-01-24,75
2021-01-31,70
2021-02-07,69
2021-02-14,76
2021-02-21,70
2021-02-28,72
2021-03-07,67
2021-03-14,69
2021-03-21,67
2021-03-28,78
2021-04-04,69
2021-04-11,64
2021-04-18,65
2021-04-25,65
2021-05-02,70
2021-05-09,66
2021-05-16,69
2021-05-23,66
2021-05-30,67
2021-06-06,61
2021-06-13,60
2021-06-20,61
2021-06-27,62
2021-07-04,59
2021-07-11,61
2021-07-18,58
2021-07-25,56
2021-08-01,57
2021-08-08,55
2021-08-15,57
2021-08-22,55
2021-08-29,53
2021-09-05,51
2021-09-12,54
2021-09-19,53
2021-09-26,62
2021-10-03,55
2021-10-10,54
2021-10-17,53
2021-10-24,54
2021-10-31,55
2021-11-07,52
2021-11-14,50
2021-11-21,53
2021-11-28,54
2021-12-05,56
2021-12-12,56
2021-12-19,53
2021-12-26,62
2022-01-02,65
2022-01-09,59
2022-01-16,53
2022-01-23,54
2022-01-30,59
2022-02-06,55
2022-02-13,61
2022-02-20,54
2022-02-27,53
2022-03-06,53
2022-03-13,54
2022-03-20,56
2022-03-27,54
2022-04-03,53
2022-04-10,53
2022-04-17,50
2022-04-24,52
2022-05-01,53
2022-05-08,48
2022-05-15,47
2022-05-22,51
2022-05-29,49
2022-06-05,47
2022-06-12,49
2022-06-19,49
2022-06-26,50
2022-07-03,50
2022-07-10,48
2022-07-17,46
2022-07-24,47
2022-07-31,46
2022-08-07,44
2022-08-14,42
2022-08-21,43
2022-08-28,44
2022-09-04,41
2022-09-11,44
2022-09-18,45
2022-09-25,46
2022-10-02,45
2022-10-09,44
2022-10-16,45
2022-10-23,44
2022-10-30,44
2022-11-06,41
2022-11-13,43
2022-11-20,40
2022-11-27,43
2022-12-04,45
2022-12-11,47
2022-12-18,43
2022-12-25,44
2023-01-01,44
2023-01-08,41
2023-01-15,41
2023-01-22,46
2023-01-29,45
2023-02-05,42
2023-02-12,44
2023-02-19,44
2023-02-26,43
2023-03-05,43
2023-03-12,42
2023-03-19,43
2023-03-26,42
2023-04-02,42
2023-04-09,41
2023-04-16,42
2023-04-23,46
2023-04-30,47
2023-05-07,39
2023-05-14,39
2023-05-21,40
2023-05-28,41
2023-06-04,42
2023-06-11,41
2023-06-18,40
2023-06-25,42
2023-07-02,50
2023-07-09,49
2023-07-16,45
2023-07-23,47
2023-07-30,46
2023-08-06,46
2023-08-13,46
2023-08-20,44
2023-08-27,45
2023-09-03,44
2023-09-10,42
2023-09-17,46
2023-09-24,44
2023-10-01,44
2023-10-08,46
2023-10-15,44
2023-10-22,44
2023-10-29,48
2023-11-05,46
2023-11-12,45
2023-11-19,44
2023-11-26,48
2023-12-03,49
2023-12-10,48
2023-12-17,47
2023-12-24,44
2023-12-31,50
2024-01-07,43
2024-01-14,46
2024-01-21,46
2024-01-28,49
2024-02-04,50
2024-02-11,50
2024-02-18,46
2024-02-25,53
2024-03-03,50
2024-03-10,45
2024-03-17,46
2024-03-24,47
2024-03-31,48
2024-04-07,43
2024-04-14,44
2024-04-21,45
2024-04-28,48
2024-05-05,46
2024-05-12,45
2024-05-19,44
2024-05-26,48
2024-06-02,44
2024-06-09,45
2024-06-16,46
2024-06-23,44
2024-06-30,47
2024-07-07,46
2024-07-14,49
2024-07-21,49
2024-07-28,46
2024-08-04,47
2024-08-11,45
2024-08-18,43
2024-08-25,45
2024-09-01,45
2024-09-08,42
2024-09-15,45
2024-09-22,45
2024-09-29,45
2024-10-06,47
2024-10-13,41
2024-10-20,45
2024-10-27,49
2024-11-03,43
2024-11-10,47
2024-11-17,47
2024-11-24,45
2024-12-01,48
2024-12-08,50
2024-12-15,50
2024-12-22,50
2024-12-29,56
2025-01-05,47
2025-01-12,47
2025-01-19,50
2025-01-26,49
2025-02-02,49
2025-02-09,51
2025-02-16,48
2025-02-23,50
2025-03-02,50
