Category: All categories

Week,Volkswagen: (Worldwide)
2020-03-01,89
2020-03-08,82
2020-03-15,68
2020-03-22,55
2020-03-29,51
2020-04-05,52
2020-04-12,54
2020-04-19,58
2020-04-26,62
2020-05-03,67
2020-05-10,74
2020-05-17,82
2020-05-24,78
2020-05-31,87
2020-06-07,89
2020-06-14,95
2020-06-21,93
2020-06-28,93
2020-07-05,89
2020-07-12,91
2020-07-19,89
2020-07-26,92
2020-08-02,90
2020-08-09,93
2020-08-16,92
2020-08-23,87
2020-08-30,87
2020-09-06,84
2020-09-13,84
2020-09-20,84
2020-09-27,81
2020-10-04,82
2020-10-11,80
2020-10-18,83
2020-10-25,76
2020-11-01,69
2020-11-08,70
2020-11-15,67
2020-11-22,71
2020-11-29,70
2020-12-06,66
2020-12-13,71
2020-12-20,68
2020-12-27,72
2021-01-03,73
2021-01-10,74
2021-01-17,73
2021-01-24,77
2021-01-31,76
2021-02-07,73
2021-02-14,75
2021-02-21,80
2021-02-28,79
2021-03-07,77
2021-03-14,86
2021-03-21,79
2021-03-28,84
2021-04-04,84
2021-04-11,79
2021-04-18,80
2021-04-25,80
2021-05-02,79
2021-05-09,82
2021-05-16,78
2021-05-23,78
2021-05-30,82
2021-06-06,83
2021-06-13,83
2021-06-20,86
2021-06-27,91
2021-07-04,85
2021-07-11,82
2021-07-18,83
2021-07-25,83
2021-08-01,82
2021-08-08,89
2021-08-15,89
2021-08-22,84
2021-08-29,76
2021-09-05,73
2021-09-12,77
2021-09-19,79
2021-09-26,78
2021-10-03,79
2021-10-10,82
2021-10-17,77
2021-10-24,71
2021-10-31,75
2021-11-07,76
2021-11-14,75
2021-11-21,73
2021-11-28,72
2021-12-05,71
2021-12-12,69
2021-12-19,68
2021-12-26,73
2022-01-02,82
2022-01-09,81
2022-01-16,76
2022-01-23,77
2022-01-30,76
2022-02-06,82
2022-02-13,86
2022-02-20,79
2022-02-27,75
2022-03-06,83
2022-03-13,78
2022-03-20,84
2022-03-27,77
2022-04-03,74
2022-04-10,75
2022-04-17,81
2022-04-24,77
2022-05-01,77
2022-05-08,79
2022-05-15,73
2022-05-22,76
2022-05-29,75
2022-06-05,75
2022-06-12,76
2022-06-19,80
2022-06-26,76
2022-07-03,78
2022-07-10,81
2022-07-17,78
2022-07-24,75
2022-07-31,70
2022-08-07,77
2022-08-14,73
2022-08-21,72
2022-08-28,74
2022-09-04,67
2022-09-11,71
2022-09-18,71
2022-09-25,68
2022-10-02,71
2022-10-09,74
2022-10-16,70
2022-10-23,71
2022-10-30,69
2022-11-06,67
2022-11-13,68
2022-11-20,66
2022-11-27,63
2022-12-04,62
2022-12-11,66
2022-12-18,65
2022-12-25,66
2023-01-01,69
2023-01-08,72
2023-01-15,75
2023-01-22,76
2023-01-29,75
2023-02-05,70
2023-02-12,70
2023-02-19,73
2023-02-26,69
2023-03-05,72
2023-03-12,74
2023-03-19,76
2023-03-26,71
2023-04-02,71
2023-04-09,76
2023-04-16,77
2023-04-23,75
2023-04-30,74
2023-05-07,71
2023-05-14,67
2023-05-21,68
2023-05-28,72
2023-06-04,76
2023-06-11,74
2023-06-18,78
2023-06-25,84
2023-07-02,85
2023-07-09,81
2023-07-16,79
2023-07-23,78
2023-07-30,77
2023-08-06,77
2023-08-13,77
2023-08-20,75
2023-08-27,72
2023-09-03,71
2023-09-10,69
2023-09-17,71
2023-09-24,70
2023-10-01,70
2023-10-08,70
2023-10-15,65
2023-10-22,69
2023-10-29,66
2023-11-05,67
2023-11-12,69
2023-11-19,72
2023-11-26,75
2023-12-03,74
2023-12-10,75
2023-12-17,76
2023-12-24,78
2023-12-31,79
2024-01-07,82
2024-01-14,83
2024-01-21,86
2024-01-28,81
2024-02-04,86
2024-02-11,85
2024-02-18,83
2024-02-25,87
2024-03-03,85
2024-03-10,82
2024-03-17,86
2024-03-24,91
2024-03-31,81
2024-04-07,81
2024-04-14,86
2024-04-21,83
2024-04-28,88
2024-05-05,83
2024-05-12,89
2024-05-19,88
2024-05-26,88
2024-06-02,85
2024-06-09,85
2024-06-16,83
2024-06-23,86
2024-06-30,87
2024-07-07,88
2024-07-14,90
2024-07-21,89
2024-07-28,89
2024-08-04,90
2024-08-11,91
2024-08-18,93
2024-08-25,89
2024-09-01,89
2024-09-08,89
2024-09-15,88
2024-09-22,85
2024-09-29,85
2024-10-06,92
2024-10-13,91
2024-10-20,94
2024-10-27,100
2024-11-03,90
2024-11-10,89
2024-11-17,89
2024-11-24,89
2024-12-01,95
2024-12-08,89
2024-12-15,89
2024-12-22,88
2024-12-29,90
2025-01-05,89
2025-01-12,94
2025-01-19,92
2025-01-26,96
2025-02-02,92
2025-02-09,91
2025-02-16,94
2025-02-23,92
2025-03-02,99
