Category: All categories

Week,wicked: (Worldwide)
2021-12-26,39
2022-01-02,35
2022-01-09,32
2022-01-16,32
2022-01-23,35
2022-01-30,37
2022-02-06,37
2022-02-13,37
2022-02-20,37
2022-02-27,35
2022-03-06,35
2022-03-13,35
2022-03-20,35
2022-03-27,35
2022-04-03,36
2022-04-10,36
2022-04-17,36
2022-04-24,37
2022-05-01,35
2022-05-08,35
2022-05-15,35
2022-05-22,35
2022-05-29,33
2022-06-05,34
2022-06-12,36
2022-06-19,37
2022-06-26,35
2022-07-03,37
2022-07-10,36
2022-07-17,35
2022-07-24,42
2022-07-31,40
2022-08-07,38
2022-08-14,38
2022-08-21,36
2022-08-28,35
2022-09-04,34
2022-09-11,35
2022-09-18,37
2022-09-25,37
2022-10-02,37
2022-10-09,39
2022-10-16,40
2022-10-23,42
2022-10-30,40
2022-11-06,35
2022-11-13,39
2022-11-20,32
2022-11-27,36
2022-12-04,40
2022-12-11,38
2022-12-18,35
2022-12-25,42
2023-01-01,39
2023-01-08,37
2023-01-15,39
2023-01-22,38
2023-01-29,39
2023-02-05,35
2023-02-12,34
2023-02-19,36
2023-02-26,37
2023-03-05,37
2023-03-12,43
2023-03-19,40
2023-03-26,38
2023-04-02,38
2023-04-09,38
2023-04-16,48
2023-04-23,40
2023-04-30,38
2023-05-07,36
2023-05-14,34
2023-05-21,35
2023-05-28,42
2023-06-04,37
2023-06-11,36
2023-06-18,37
2023-06-25,38
2023-07-02,39
2023-07-09,37
2023-07-16,42
2023-07-23,41
2023-07-30,39
2023-08-06,38
2023-08-13,37
2023-08-20,36
2023-08-27,35
2023-09-03,35
2023-09-10,35
2023-09-17,36
2023-09-24,39
2023-10-01,36
2023-10-08,35
2023-10-15,38
2023-10-22,41
2023-10-29,42
2023-11-05,35
2023-11-12,35
2023-11-19,35
2023-11-26,37
2023-12-03,41
2023-12-10,38
2023-12-17,37
2023-12-24,38
2023-12-31,42
2024-01-07,37
2024-01-14,38
2024-01-21,36
2024-01-28,39
2024-02-04,39
2024-02-11,100
2024-02-18,57
2024-02-25,58
2024-03-03,55
