Product type,Advertiser/product,Title,Plot/notes
Cosmetics and personal care,CeraVe,"""Michael CeraVe""","Michael Cera attempts to take credit for the development of CeraVe moisturiser because it has ""Cera"" in its name."
Cosmetics and personal care,Dove,"""Hard Knocks""","Starts with footage of girls falling down and taking bumps while playing sports, then shows the message ""45% of girls quit sports by age 14"" and ""Together we can keep them in the game. Join the Body Confident Sport program""."
Cosmetics and personal care,e.l.f.,"""In e.l.f. We Trust""",Judy Sheindlin presides over Judge Beauty—a court show dealing in cases involving cosmetics.
Car,BMW,"""Talkin' Like Walken""","As he goes about his day, Christopher Walken repeatedly gets accosted by various people trying to emulate his distinct style of speaking, much to his annoyance."
Car,Volkswagen,"""An American Love Story""","Celebrates the 75th anniversary of Volkswagen. Starting with black-and-white styled footage of the cars being introduced in 1949, and later videos of owners enjoying various Volkswagen vehicles. Features Neil Diamond's song ""I Am... I Said""."
Car,Toyota Tacoma,"""Dareful Handle""","As people drive aggressively off-road, the passengers grip the handle in fear and make remarks that the announcer repeats as nicknames for the handle."
Car,Kia EV9,"""Perfect 10""","A young figure skater participates in a regional competition, being cheering on by her father, but there is a noticeable empty seat next to him. After driving home, the dad uses the EV9's power station to light up an icy pond and speakers so she can perform in front of her wheelchair-bound grandfather."
Car,Kawasaki Ridge,"""Mullets""","As two friends start driving a Ridge, they grow mullets and go through some backcountry trails. They pass animals, which also grow mullets. They even pass Stone Cold Steve Austin."
FIlm,Wicked,Trailer,Trailer
Food,Doritos,"""Dina & Mita""","Jenna Ortega goes to the supermarket with her grandmothers, Dina and Mita, with the intention of getting a bag of Doritos Dinamita. After learning that the last bag has already been bought by Danny Ramirez, Dina and Mita fight with Ramirez to retrieve the bag from him. The grandmothers are eventually successful but get upstaged by Ortega, who takes the bag for herself."
