Views,Likes
3479994,19179
452530,1527
7939707,371
71652,594
12140,94
11342,82
2774,9
46858,190
6854650,136106
32518,229
159961,346
3957,24
2268956,572
2127784,471
2753525,178
109754,361
21074,51
14580,73
357101,1517
51856,396
220980,528
23155,88
107328,205
1587,13
4256,24
5678,18
15665,155
19171,246
NaN,NaN
207754,422
5791,31
61194,218
18749,52
355597,2041
912907,4607
14209112,231146
14410990,35304
NaN,NaN
56166663,2454
57328369,13005
18033,463
50327223,4698
25775077,30740
22189,110
1350110,10
NaN,NaN
2918775,2034
3803,7
5278,7
18989,57
212,1
13783,41
3631830,2387
6600709,3335
161586,12
533633,4462
11527,20
7202,29
1347397,3534
19347483,0
1014300,5903
811344,412
193082,3423
